h;agg
0;350,784
1;362,88
2;362,88
3;362,88
4;362,88
5;364,579714986
6;367,806165217
7;374,313790687
8;381,695459194
9;390,867803048
10;404,495486694
11;411,070214011
12;417,998266031
13;430,723332819
14;447,364336632
15;459,505807461
16;472,073554911
17;486,524228406
18;497,80674359
19;509,489229952
20;530,0847476
21;548,540803877
22;567,296200349
23;586,247645148
24;605,975470233
25;626,703447616
26;651,678736826
27;674,20987003
28;695,200073378
29;711,826384868
30;731,506459521
31;754,370528593
32;779,610766088
33;804,715778296
34;831,586010849
35;858,019455795
36;878,920105184
37;898,855251161
38;920,403399666
39;938,318085175
40;947,636603247
41;963,864023769
42;974,036180798
43;978,336774538
44;979,473506463
45;982,945397329
46;985,76909139
47;985,997022137
48;989,369528369
49;990,681350788
50;982,491734979
51;974,058489283
52;966,548090707
53;959,079726641
54;953,550655714
55;951,043437064
56;946,937158184
57;940,377477273
58;936,840006131
59;937,614107787
60;933,730064703
61;929,163346762
62;925,752551591
63;918,603110264
64;908,96853076
65;894,30907215
66;881,624807282
67;865,83416419
68;849,246365528
69;832,759928559
70;821,067769874
71;809,709487848
72;804,631636281
73;801,095935147
74;794,394590656
75;793,280741342
76;789,413245857
77;788,195077428
78;787,801813287
79;793,404859916
80;800,86708821
81;814,09806038
82;828,94283306
83;839,921757741
84;845,768185843
85;847,59465741
86;847,901253708
87;856,927810192
88;860,680285361
89;860,57722034
90;858,717409952
91;854,670661339
92;848,691679461
93;848,811370189
94;850,213419645
95;853,200298764
96;855,390031513
97;856,184059756
98;865,010285659
99;875,167034492
100;885,749681771
101;898,275722626
102;914,772194812
103;930,923246649
104;944,923500387
105;950,313928521
106;959,00043447
107;962,810164175
108;966,907609707
109;970,276637899
110;971,221801932
111;972,973229117
112;969,112174628
113;963,840689368
114;958,669873737
115;952,793356922
116;946,179781641
117;934,35753517
118;928,978209731
119;928,111220916
120;930,063659288
121;933,124407264
122;947,98835662899
123;964,87271047699
124;985,67943768799
125;1005,24314523999
126;1027,65742303399
127;1053,04103528699
128;1067,37481177599
129;1078,36946447799
130;1087,37011598499
131;1091,68547253199
132;1088,96527039999
133;1086,00403087299
134;1090,41123139199
135;1101,30364948199
136;1106,85734313699
137;1115,25761914499
138;1119,47765263899
139;1118,25440585699
140;1117,31026934099
141;1108,55870785999
142;1102,22578852899
143;1099,93747103199
144;1098,96973909899
145;1099,86195041899
146;1109,16461037699
147;1114,00348837799
148;1117,26782599199
149;1120,44575586899
150;1129,13179384299
151;1139,54629050099
152;1136,770602886
153;1126,192083179
154;1108,328443735
155;1094,138460847
156;1078,856826361
157;1064,083308698
158;1052,905426272
159;1046,903389153
160;1036,130166557
161;1028,997193677
162;1020,912182174
163;1013,066294007
164;994,256879603
165;973,573830255
166;957,817851334
167;942,368075209
168;927,577302848
169;919,289978927
170;907,859698057
171;900,974085013
172;896,543094457
173;895,882088033
174;902,796101516
175;911,028548629
176;912,030914767
177;915,230183782
178;913,111115006
179;909,649621766
180;901,847148099
181;895,095908624
182;891,09163249
183;885,852240238
184;879,973921936
185;873,386921427
186;865,342167801
187;853,326673465
188;849,453628551
189;840,578409085
190;838,114168147
191;834,296793511
192;833,348891445
193;834,029576245
194;849,831578516
195;860,480598429
196;866,908476002
197;880,576203881
198;896,752898022
199;908,735600264
200;925,084277216
201;940,015706695
202;954,017620195
203;963,651556547
204;967,623616046
205;972,366378422
206;978,803944905
207;984,464241237
208;984,976589268
209;985,068711355
210;984,662311096
211;977,676015413
212;964,705124993
213;955,673835606
214;949,7100746
215;944,191944388
216;944,651564095
217;942,822452743
218;933,33699906
219;921,789019599
220;914,723741981
221;911,752472762
222;910,708756736
223;911,311305241
224;907,12240528
225;910,477865447
226;922,222785382
227;926,814014557
228;935,00872789
229;946,10285196
230;962,980184655
231;979,538578652
232;991,170730342
233;1001,863495733
234;1011,049310216
235;1016,928939076
236;1019,318482044
237;1025,030613345
238;1041,03090507
239;1057,725785736
240;1071,498073697
241;1088,627457094
242;1111,648896232
243;1136,862869597
244;1162,761817491
245;1195,203328767
246;1225,420656851
247;1261,263070632
248;1295,565180255
249;1335,207255166
250;1368,591429677
251;1391,295343432
252;1410,324952884
253;1428,009788454
254;1443,442968722
255;1455,393702302
256;1459,718068696
257;1458,806438019
258;1453,588014006
259;1440,125910834
260;1417,831367434
261;1399,353660319
262;1379,557213522
263;1360,400599762
264;1344,782776679
265;1326,082505114
266;1311,781023699
267;1292,272675083
268;1277,606919125
269;1252,681781
270;1228,297591455
271;1206,003729901
272;1183,368161243
273;1163,185701691
274;1151,958476406
275;1133,870886011
276;1115,336138966
277;1099,338988033
278;1084,480615835
279;1067,565155592
280;1050,390895105
281;1039,495083265
282;1029,802881563
283;1016,118095454
284;1001,549195749
285;987,262184947
286;972,174222637
287;965,84372733
288;960,93887726
289;961,285131669
290;963,116055756
291;960,619841979
292;960,15805062
293;967,47554194
294;971,019523126
295;976,684525375
296;978,499872998
297;986,796495919
298;996,913029671
