h;prod
0;0
1;12,096
2;12,096
3;12,096
4;12,096
5;12,096
6;12,096
7;12,096
8;12,096
9;12,096
10;12,096
11;12,096
12;12,096
13;12,096
14;12,096
15;12,096
16;12,096
17;12,096
18;12,096
19;12,096
20;12,096
21;12,096
22;12,096
23;12,096
24;12,096
25;12,096
26;12,096
27;12,096
28;12,096
29;12,096
30;12,096
31;12,096
32;12,096
33;12,096
34;13,795714986
35;15,322450231
36;18,60362547
37;19,477668507
38;21,268343854
39;25,723683646
40;18,670727317
41;19,02405202
42;24,821066788
43;28,737003813
44;24,237470829
45;24,66374745
46;26,546673495
47;23,378515184
48;23,778486362
49;32,691517648
50;30,552056277
51;30,851396472
52;31,047444799
53;31,823825085
54;32,823977383
55;37,07128921
56;34,627133204
57;33,086203348
58;28,72231149
59;31,776074653
60;34,960069072
61;37,336237495
62;37,201012208
63;38,966232553
64;40,229159932
65;36,22309962
66;38,538771447
67;41,025817012
68;39,183029363
69;35,042201718
70;34,898147839
71;29,196209049
72;29,121660528
73;29,873735738
74;27,709361695
75;27,487441511
76;26,774604242
77;26,751021416
78;25,090308781
79;24,501901839
80;22,118810581
81;23,340997896
82;23,579080733
83;26,294754158
84;30,316758733
85;32,96501033
86;28,067452293
87;29,548732206
88;29,496413146
89;27,892031569
90;30,393351131
91;33,925442324
92;30,051570881
93;29,331653049
94;25,569701322
95;23,538834752
96;22,748128355
97;24,43801835
98;22,696592394
99;23,350043033
100;23,539865813
101;24,118357482
102;25,585959394
103;23,172391247
104;26,595512381
105;23,619946026
106;25,556435813
107;26,357757275
108;30,69335541
109;31,964130133
110;35,349782751
111;38,185770576
112;34,558005414
113;32,14118226
114;32,1432303
115;33,271606628
116;37,094008777
117;33,301207375
118;29,393348125
119;26,032221181
120;26,346602518
121;27,946460446
122;30,171261609
123;30,733702505
124;28,556580441
125;25,728567501
126;23,542156598
127;33,264244253
128;32,853341227
129;33,932690312
130;36,065906668
131;40,614829668
132;41,737011231
133;37,172644985
134;31,985940515
135;32,306451975
136;29,366165518
137;30,455202807
138;34,062383602
139;32,909294166
140;37,101209936
141;34,324716087
142;29,286520154
143;26,970366629
144;26,266713485
145;26,658031347
146;25,271762306
147;27,921881936
148;28,52635931
149;27,984659553
150;29,407350494
151;42,8104098109902
152;47,055615457
153;51,540429716
154;48,120287993
155;48,142845295
156;48,925768851
157;47,598020742
158;43,847993929
159;42,933341819
160;40,381263215
161;37,894627536
162;38,775771704
163;41,579845504
164;42,878358605
165;37,86014563
166;37,766441526
167;34,675236301
168;32,83913682
169;31,96515765
170;28,349648455
171;27,991796756
172;26,998202657
173;26,002634696
174;27,158924805
175;35,960691305
176;30,110640307
177;31,18621955
178;31,704289187
179;36,670697527
180;39,821847152
181;40,034722196
182;36,47709575
183;33,676790272
184;33,930305105
185;32,861210809
186;34,152251188
187;36,420138316
188;37,84595681
189;32,160119223
190;33,248290335
191;29,809616033
192;30,929883537
193;22,7704311
194;22,195309257
195;22,104166709
196;22,316665401
197;19,88446394
198;24,551812899
199;20,53487678
200;21,464035411
201;23,5608062
202;26,337196233
203;32,916648179
204;35,391371918
205;36,963057443
206;33,309909322
207;29,067150774
208;28,242795947
209;28,86822386
210;33,070607677
211;36,030446062
212;31,237703498
213;27,79847197
214;27,343304596
215;24,816457183
216;22,136756852
217;32,547093402
218;28,970737344
219;29,695878285
220;29,430915699
221;28,861713967
222;31,610568337
223;38,572433371
224;32,84432917
225;28,532044282
226;35,98439328
227;36,061158081
228;36,534515141
229;36,883553732
230;36,39546489
231;37,5627197
232;35,971132585
233;36,888707678
234;40,134134294
235;43,400623926
236;38,970205654
237;29,579498805
238;28,334918034
239;28,461823601
240;26,084311994
241;23,059555642
242;22,206414111
243;21,834710964
244;21,825174384
245;25,27607689
246;20,3076455
247;23,061639719
248;17,422757883
249;22,630600667
250;26,45964648
251;27,817997941
252;32,213116842
253;34,38353341
254;36,199789337
255;40,276964217
256;40,575622455
257;44,255871414
258;47,628639211
259;53,760886427
260;52,953858887
261;49,19487139
262;46,663897976
263;46,074522161
264;46,013763154
265;45,790166894
266;44,682336955
267;45,57979053
268;45,0297987
269;42,234111562
270;43,213695391
271;46,08099478
272;47,420387476
273;47,733658858
274;54,26668566
275;55,493404974
276;56,150059281
277;57,363749342
278;57,064832794
279;56,014775178
280;49,163560235
281;46,847607393
282;49,897952412
283;49,816713678
284;48,150522917
285;44,601330611
286;39,663991778
287;39,037447401
288;34,166536039
289;31,466343027
290;34,476151772
291;29,398424593
292;27,507284216
293;30,456699078
294;27,313491589
295;31,488685479
296;25,173988339
297;30,914034572
298;20,104660575
299;17,849922017
300;20,919833837
301;23,445426122
302;27,237927924
303;36,506433573
304;36,179095265
305;36,958657929
306;40,152908348
307;42,505377144
308;40,149372551
309;38,840514691
310;38,267748395
311;37,155405691
312;36,213166303
313;35,247813973
314;33,863512115
315;29,513368301
316;33,333496471
317;34,132597331
318;34,512790448
319;33,297267114
320;31,979937995
321;28,936633234
322;34,824775536
323;34,000680264
324;32,978493838
325;33,304033102
326;33,47061126
327;41,030568324
328;41,300620388
329;42,619301257
330;44,287233685
331;48,084729783
332;49,247362045
333;48,816903546
334;44,118070289
335;41,05450197
336;38,737049122
337;36,572657646
338;32,986348217
339;33,6610188
340;33,748081461
341;34,077469441
342;35,56462672
343;28,03387003
344;22,030435336
345;17,408057863
346;12,096
347;18,150523284
348;14,86543361
349;17,856728787
350;19,404402954
351;22,6456839
352;21,797541921
353;23,411190188
354;28,233050572
355;33,827567424
356;33,911734645
357;33,21295165
358;31,624356972
359;29,420927352
360;29,684369219
361;25,03487066
362;23,612976325
363;19,637588685
364;21,746007897
365;21,04173969
366;21,426629598
367;20,982560693
368;23,59501822
369;22,450419884
370;21,588687659
371;26,244768357
372;24,544140433
373;28,682219638
374;25,03843375
375;19,807127287
376;15,749796925
377;19,221376375
378;17,783868998
379;22,927297122
380;28,836545102
381;23,154445846
382;19,175047723
383;14,911712554
384;17,38015795
385;23,407765568
386;19,449494624
387;19,478167183
388;18,721510905
389;18,191227767
390;22,206090954
391;26,911525664
392;36,899080034
393;42,0783159
394;45,1327239
395;46,996610401
396;49,117159662
397;48,258553294
398;45,119852261
399;42,35193799
400;39,972484683
401;41,017838632
402;42,482701767
403;42,11118617
404;42,503707121
405;38,22753452
406;34,772756786
407;32,30822935
408;31,122294614
409;29,969784031
410;34,258845029
411;31,269050942
412;32,129331469
413;33,411947934
414;31,598521951
415;36,766888432
416;36,440295983
417;37,131586746
418;38,916908792
419;41,149267878
420;43,678397299
421;45,249237716
422;44,541484483
423;43,743209501
424;41,713310957
425;43,263007411
426;49,935476739
427;49,626217291
428;51,961092344
429;47,13293547
430;39,004461768
431;36,960512799
432;33,920780852
433;35,452495946
434;38,434374422
435;36,905564563
436;37,123802526
437;37,798413797
438;38,674987876
439;38,090652107
440;37,916264973
441;40,085221766
442;36,332249552
443;39,464066024
444;42,287599614
445;43,088415102
446;43,944160269
447;42,074596483
448;43,664853581
449;40,598320043
450;43,698514579
451;43,232329705
452;45,41967983
453;40,820307451
454;37,689433138
455;33,062626598
456;32,079637698
457;31,132439807
458;29,332974481
459;28,206359745
460;26,42066519
461;24,466557727
462;23,89347604
463;23,004390263
464;20,74974224
465;21,732503762
466;18,666939806
467;19,743881403
468;23,915120427
469;26,261322475
470;26,455333433
471;30,395754404
472;31,639349047
473;32,572944887
474;37,101094372
475;37,524742505
476;41,445701979
477;33,666335298
478;32,370729711
479;28,833187298
480;28,578225673
481;28,690185475
482;29,164829923
483;30,995615526
484;32,799487217
485;33,406921331
486;33,110540695
487;35,501943126
488;30,530585413
489;29,877394872
490;25,920534764
491;27,513271244
492;27,616869133
493;28,305818336
494;30,889513367
495;33,864419797
496;38,634490098
497;37,072552887
498;37,927362606
499;39,377156356
500;38,329674153
501;38,809067087
502;33,64458791
503;33,041673604
504;32,674148485
505;30,848336679
506;27,310007536
507;26,314771033
508;25,811792023
509;25,257300083
510;26,114753488
511;29,213133446
512;20,959358187
513;17,876613607
514;12,096
515;15,355962762
516;18,755141538
517;22,727592986
518;24,024521854
519;27,09720519
520;30,275455213
521;30,140913557
522;29,598094358
523;31,039133199
524;30,25150756
525;26,310951924
526;25,096872401
527;21,639505724
528;22,563038283
529;20,951272937
530;15,497415209
531;14,367068946
532;16,671389343
533;15,293052189
534;15,310554255
535;12,096
536;12,096
537;12,096
538;12,096
539;12,096
540;12,096
541;12,096
542;12,096
543;14,726159991
544;19,512910299
545;22,620003374
546;21,220077723
547;22,661145528
548;25,565859151
549;23,602091267
550;20,322641765
551;15,171447327
552;20,462970764
553;28,391127856
554;25,491846773
555;28,008939432
556;28,597557742
557;29,197577586
558;32,937319935
559;33,629240783
560;24,873646274
561;29,223538532
562;27,171014654
563;31,031737535
564;34,701658225
565;40,044822958
566;44,052003283
567;47,747439542
568;48,935037043
569;47,126384965
570;49,108279238
571;48,66904795
572;53,956315572
573;48,141503139
574;50,676004066
575;47,901846334
576;44,617198022
577;39,955596012
578;39,955220815
579;39,51816914
580;38,957138785
581;38,391374576
582;40,250049244
583;40,811658751
584;37,443920152
585;32,479224165
586;30,299574034
587;27,704955936
588;26,001728923
589;26,736538644
590;29,930642401
591;35,379981261
592;38,126137874
593;34,937548989
594;40,200119496
595;42,618226341
596;39,634066499
597;32,716001565
598;30,222613517
599;28,674163871
600;27,500612474
601;26,086593779
602;27,532185456
603;27,305965722
604;25,977483881
605;24,710534743
606;25,323475194
607;26,743071408
608;26,190762053
609;21,89111323
610;18,005706741
611;20,544960587
612;23,825683881
613;26,03830292
614;28,945262623
615;30,056461455
616;31,653069447
617;31,438292789
618;33,554089759
619;38,861802328
620;35,455689236
621;31,881038756
622;28,019417139
623;27,280081854
624;25,068071644
625;27,497027971
626;24,407429303
627;25,959350789
628;22,723751604
629;21,765874693
630;26,808726019
631;31,298273812
632;33,173437996
633;34,048486768
634;33,436083553
635;34,02070106
636;40,136555263
637;38,920728905
638;39,485243242
639;39,365982891
640;40,804916635
641;41,242575512
642;44,876812517
643;46,177650359
644;46,297304164
645;43,430099931
646;38,869564622
647;39,820559996
648;34,201250201
649;41,366056303
650;40,737961163
651;39,937673769
652;38,448144234
653;36,830160925
654;32,106001558
655;33,46600523
656;30,23981812
657;31,03715284
658;30,18011729
659;32,98308216
660;32,9452344
661;30,687561291
662;30,254690262
663;31,865776461
664;31,678302948
665;31,406810427
666;32,504680414
667;34,745619824
668;35,732466824
669;32,116904124
670;31,92874383
671;29,616600495
672;30,55413147
673;33,736521185
674;32,361003859
675;32,593018723
676;29,90428557
677;29,604063761
678;28,956235833
679;27,998208729
680;24,251412672
681;26,982857892
682;24,103256588
683;25,029155347
684;26,089955201
685;28,872959896
686;28,344833821
687;26,865085913
688;21,246100745
689;22,225300116
690;25,404592492
691;27,809371186
692;27,190070121
693;25,820834429
694;23,788984528
695;22,226130051
696;22,54994813
697;20,405427757
698;17,165935076
699;17,278676064
700;17,639234523
701;19,144984611
702;23,063814249
703;21,87687906
704;22,29902181
705;21,368037091
706;13,947993827
707;14,276078684
708;17,062684247
709;21,292473684
710;20,744584015
711;22,56876489
712;23,031272147
713;18,791445663
714;23,066261978
715;23,288307257
716;26,065289234
717;24,288455902
718;23,865629611
719;18,411207191
720;30,839665849
721;33,994421355
722;32,846645213
723;38,36646517
724;35,949965952
725;41,351927224
726;39,818375087
727;43,827611659
728;44,395519285
729;43,997599949
730;37,951688684
731;41,706149177
732;40,723770534
733;40,849595124
734;43,496460113
735;50,775338863
736;60,245072983
737;60,48
738;60,48
739;60,48
740;60,48
741;60,48
742;55,186643379
743;54,498816439
744;39,947306798
745;43,049152166
746;42,991147364
747;43,564282657
748;44,791290374
749;47,914656714
750;50,060487523
751;48,014194482
752;45,189778086
753;42,43846986
754;36,936102135
755;35,651103175
756;37,297658872
757;39,215081339
758;43,190273813
759;48,135133107
760;52,445004463
761;54,834601385
762;56,529685345
763;55,578927955
764;57,710011853
765;52,498018262
766;47,843402153
767;47,77899029
768;43,326646124
769;45,766471281
770;45,145702502
771;46,127790436
772;48,981112936
773;50,78104673
774;51,334428074
775;49,418915373
776;46,661396155
777;43,753766669
778;45,138915066
779;44,844378375
780;46,42747113
781;48,378536553
782;45,890680204
783;50,806558028
784;53,636337737
785;54,273461034
786;57,435824224
787;56,344261798
788;54,02194564
789;52,856677666
790;47,7269963
791;43,144342081
792;39,949808611
793;37,475789587
794;39,29327508
795;38,751454097
796;38,054633073
797;37,874784524
798;39,2810381
799;42,166810987
800;41,989692659
801;41,91059052
802;40,83378457
803;40,29455423
804;41,388721862
805;43,573844858
806;44,877338579
807;45,161648993
808;47,759508992
809;44,6648885
810;45,697439885
811;46,754202166
812;48,002140735
813;43,019986724
814;40,658124266
815;34,368467298
816;35,28813875
817;35,23584473
818;32,511317834
819;33,15956012
820;32,237068702
821;30,602876714
822;30,906205163
823;30,323172354
824;26,502612685
825;22,390534384
826;21,740448368
827;24,279425908
828;24,925347194
829;22,860917796
830;23,835508523
831;29,923737045
832;34,101666248
833;32,005076786
834;33,659588185
835;35,638043492
836;39,292965705
837;39,891908714
838;37,059832306
839;34,21928336
840;34,815386077
841;36,136455527
842;37,295359419
843;41,26354595
844;38,144170647
845;34,903684409
846;33,732017969
847;39,38547423
848;30,137207139
849;21,447739698
850;19,852466435
851;18,770461008
852;16,847022901
853;17,390702243
854;19,942046308
855;24,601604507
856;32,211290193
857;32,842041869
858;36,943794223
859;37,043201211
860;43,985668122
861;42,748305416
862;38,129187229
863;33,160640619
864;30,426820384
865;35,876351525
866;31,672085599
867;30,909737562
868;32,456268392
869;33,986654995
870;36,178790334
871;28,49363937
872;25,828876109
873;22,848691695
874;19,534093843
875;20,121661072
876;22,02082833
877;24,145064835
878;26,602747543
879;31,000895244
880;32,422777556
881;33,553699569
882;36,523642556
883;41,203670901
884;41,338652149
885;35,798584428
886;33,004584226
887;33,920954103
888;33,629668629
889;32,85198258
890;33,749172724
891;35,335990192
892;37,157028612
893;40,600400634
894;34,860590099
895;35,030438367
896;35,916421316
897;37,524473006
898;35,049205946
899;36,128310601
900;35,568487635
901;33,806979976
902;38,25410412
903;39,92079307
904;42,080425258
905;41,860841712
906;44,997642669
907;47,019738106
908;47,101368365
909;40,705214996
910;31,810673021
911;28,279876218
912;26,655859367
913;26,491022617
914;24,050415919
915;23,759547863
916;23,01922326
917;21,444635805
918;23,803318464
919;27,884076433
920;24,287983981
921;23,536184517
922;23,485257948
923;25,239879044
924;26,713905979
925;29,805156829
926;32,815444467
927;36,155996028
928;38,562647614
929;41,072692281
930;43,782954629
931;45,383723052
932;44,534783076
933;41,099436057
934;33,88039502
935;34,456818446
936;38,327976224
937;37,192831121
938;36,477401831
939;37,836647027
940;39,161239648
941;38,599797394
942;41,694435195
943;42,761134616
944;47,044808478
945;44,901056632
946;37,240535335
947;35,585206568
948;33,04736672
949;30,652876791
950;33,724558923
951;40,298493452
952;43,080093258
953;47,715825783
954;48,651455091
955;50,36993737
956;52,520809186
957;45,537289854
958;45,690423876
959;40,866311695
960;42,149206462
961;42,37638375
962;44,168503395
963;44,578073257
964;42,03826208
965;44,73552596
966;43,023425639
967;41,559565182
968;41,670396456
969;39,682693333
970;39,09539283
971;42,591623479
972;45,012264494
973;48,773399313
974;54,87441336
975;55,635556682
976;58,098476813
977;55,95710497
978;60,48
979;59,95871099
980;60,48
981;57,650820591
982;55,830468664
983;54,173313652
984;53,05013786
985;53,15221607
986;51,174028869
987;52,886863927
988;52,566045363
989;50,611650804
990;55,487425159
991;53,306646219
992;50,395410485
993;46,105903543
994;46,126725509
995;44,704094897
996;45,640600214
997;49,272107641
998;54,524616894
999;60,48
1000;60,48
1001;60,48
1002;60,48
1003;60,48
1004;60,48
1005;59,318467368
1006;55,572039448
1007;51,945918017
1008;50,708204193
1009;50,274860128
1010;47,30095679
1011;48,08719196
1012;47,526147125
1013;46,685879114
1014;47,779081249
1015;38,239942393
1016;36,768539358
1017;34,68619487
1018;36,139684798
1019;37,154613017
1020;38,350887304
1021;40,914192706
1022;41,414111277
1023;44,765963393
1024;40,172428511
1025;39,974417063
1026;41,373559669
1027;42,954736573
1028;43,518545173
1029;43,124168767
1030;40,043674176
1031;37,864487113
1032;38,149421094
1033;37,299697866
1034;34,340725336
1035;35,934119055
1036;35,903185174
1037;39,410045517
1038;36,903221521
1039;30,769334837
1040;28,552082858
1041;24,44266228
1042;23,917062376
1043;24,420078733
1044;26,673708656
1045;28,739637624
1046;34,695419262
1047;36,201869173
1048;42,035573382
1049;41,269702173
1050;43,636599107
1051;47,719436973
1052;47,916193824
1053;43,06623082
1054;39,075778432
1055;34,889729102
1056;40,384761332
1057;37,919751299
1058;36,081624348
1059;36,611690725
1060;34,912294352
1061;35,98900199
1062;31,869796984
1063;30,685587911
1064;26,961409167
1065;28,777144596
1066;24,419562798
1067;25,062540921
1068;27,609613619
1069;28,88576097
1070;33,936078363
1071;33,809516748
1072;35,750085949
1073;36,18298907
1074;36,088828729
1075;40,959627
1076;41,210146591
1077;32,014362237
1078;28,322319005
1079;21,692088338
1080;24,155274855
1081;20,552525529
1082;20,905517064
1083;24,720232033
1084;24,520881312
1085;22,605650618
1086;20,865423261
1087;20,460956013
1088;23,925995346
1089;24,305546072
1090;29,818247899
1091;39,065489809
1092;43,39367002
1093;44,273870207
1094;36,61793804
1095;33,920085821
1096;30,915814152
1097;27,525721162
1098;30,695604201
1099;32,245430873
1100;33,908848035
1101;29,489013245
1102;25,029336748
1103;24,71267988
1104;24,827738824
1105;22,747212732
1106;19,486446386
1107;17,303604633
1108;16,388519854
1109;15,57207808
1110;17,614244048
1111;24,527414829
1112;25,071299906
1113;28,198704847
1114;22,141016275
1115;20,958393099
1116;20,805507371
1117;21,830932784
1118;24,060840065
1119;22,397548088
1120;21,070732072
1121;22,020868773
1122;25,529969212
1123;26,871227766
1124;27,152290266
1125;21,690015894
1126;17,115370172
1127;14,684988836
1128;12,096
1129;12,119746612
1130;12,215607411
1131;14,849213325
1132;13,587450408
1133;12,096
1134;12,096
1135;12,096
1136;16,962929318
1137;18,744501206
1138;17,71081013
1139;20,206455571
1140;22,025257728
1141;23,373487966
1142;26,202003388
1143;20,765517585
1144;22,261314321
1145;24,952880277
1146;29,676512561
1147;30,475575714
1148;32,516331938
1149;30,143230916
1150;26,784391351
1151;21,434008393
1152;25,268552634
1153;25,665795839
1154;24,812622075
1155;24,38612835
1156;24,279471795
1157;21,013885522
1158;25,599750572
1159;18,160937781
1160;23,104332852
1161;17,705646939
1162;15,303931115
1163;17,109401812
1164;15,014555816
1165;12,096
1166;13,769241747
1167;21,21149326
1168;24,099545576
1169;25,604781282
1170;25,409355041
1171;27,967884414
1172;33,683131334
1173;31,37033716
1174;29,226838507
1175;25,603214255
1176;26,187617364
1177;24,568528469
1178;25,681601908
1179;23,985375046
1180;22,372403435
1181;20,702104253
1182;22,781097952
1183;26,379976913
1184;16,700348478
1185;22,192054395
1186;25,115281387
1187;28,732286305
1188;30,706098767
1189;33,891133141
1190;36,506089318
1191;33,072230584
1192;28,957297773
1193;28,530764707
1194;32,318405702
1195;36,195475226
1196;37,967766541
1197;35,894143632
1198;32,026215457
1199;27,7880833
1200;29,176598069
1201;28,806345209
1202;26,868718937
1203;27,476327455
1204;26,745178349
1205;26,809785277
1206;24,63978665
1207;24,012479261
1208;27,857108776
1209;27,627706779
1210;26,429980438
1211;30,191798136
1212;30,87322081
1213;32,205750921
1214;31,593630542
1215;25,51341389
1216;25,022973746
1217;23,585235506
1218;27,223615966
1219;31,05677766
1220;30,809047997
1221;27,213938346
1222;27,394811467
1223;24,378381852
1224;22,643709306
1225;24,765490748
1226;25,618029383
1227;23,891977078
1228;24,543872319
1229;25,153249576
1230;26,851802555
1231;27,606686231
1232;27,593000665
1233;29,732925981
1234;29,857346425
1235;38,170231989
1236;44,158644986
1237;45,995977677
1238;41,952539557
1239;34,531952039
1240;32,201626789
1241;33,937201273
1242;37,250740414
1243;37,679384326
1244;42,142608856
1245;37,492438832
1246;33,785392857
1247;29,636677712
1248;27,723528751
1249;31,412726654
1250;32,723250903
1251;34,13023653
1252;35,347729476
1253;33,049801354
1254;37,249956783
1255;36,099017407
1256;36,444762372
1257;39,918625806
1258;33,76797425
1259;34,783013781
1260;35,883758802
1261;37,785466569
1262;39,533677764
1263;33,38686347
1264;33,929400629
1265;35,704049803
1266;35,096189639
1267;38,093203711
1268;44,906491112
1269;38,888023693
1270;33,086215487
1271;31,581626937
1272;31,846185891
1273;33,390111428
1274;34,121635288
1275;34,661603774
1276;34,609129261
1277;33,93647197
1278;32,326255166
1279;32,282083258
1280;32,098192276
1281;31,602443063
1282;31,365419354
1283;31,902969643
1284;33,350694833
1285;35,572301584
1286;31,987823137
1287;31,368103526
1288;35,326016164
1289;37,671726197
1290;39,359107134
1291;40,025571578
1292;40,325096505
1293;38,043205248
1294;34,911199162
1295;33,268172172
1296;32,044125254
1297;29,947315094
1298;26,491157912
1299;25,643780998
1300;24,078530438
1301;22,110236863
1302;21,457306408
1303;23,457264623
1304;27,733293031
1305;25,234928087
1306;23,489766727
1307;23,164175732
1308;22,170307205
1309;23,454313783
1310;23,629087363
1311;21,483345064
1312;21,076107665
1313;22,593314008
1314;24,918191266
1315;27,817080517
1316;26,830649254
1317;25,329990274
1318;22,334235359
1319;17,530201776
1320;19,008786883
1321;17,936999935
1322;16,241841549
1323;15,857895626
1324;17,863118031
1325;18,058463949
1326;19,495494106
1327;14,906519201
1328;12,096
1329;12,096
1330;12,096
1331;12,096
1332;12,096
1333;12,35908947
1334;16,109663795
1335;15,733367253
1336;21,371339441
1337;22,086691788
1338;21,316449523
1339;23,622106855
1340;24,484092436
1341;22,941613976
1342;21,08943023
1343;20,009831395
1344;17,023600689
1345;21,941601293
1346;21,135974547
1347;21,658918005
1348;20,777282687
1349;15,955507995
1350;13,305550227
1351;12,096
1352;12,096
1353;12,096
1354;12,096
1355;12,096
1356;12,096
1357;12,096
1358;12,096
1359;12,096
1360;12,096
1361;12,096
1362;12,096
1363;12,096
1364;13,370217624
1365;12,096
1366;12,096
1367;16,233596977
1368;20,710003436
1369;20,542044255
1370;21,111328069
1371;21,750027222
1372;22,456647337
1373;22,628419923
1374;23,186410189
1375;16,578484425
1376;12,096
1377;12,096
1378;12,096
1379;12,096
1380;14,220727877
1381;18,228064886
1382;16,274402518
1383;20,196379793
1384;19,046311295
1385;24,447531193
1386;29,889574508
1387;33,921669168
1388;34,720545889
1389;32,343875347
1390;28,428041622
1391;23,17811514
1392;23,590099872
1393;23,026740758
1394;18,617452933
1395;18,472569386
1396;17,499033962
1397;16,479022173
1398;17,28654221
1399;15,050501084
1400;12,096
1401;12,096
1402;12,096
1403;12,096
1404;12,096
1405;12,096
1406;12,206109976
1407;12,213783873
1408;16,689956773
1409;21,498115112
1410;25,527153591
1411;27,125219874
1412;27,80737152
1413;27,149800548
1414;21,943466484
1415;16,685656452
1416;12,096
1417;12,096
1418;12,096
1419;12,479696048
1420;12,4426372
1421;12,096
1422;12,096
1423;12,096
1424;12,096
1425;12,096
1426;12,096
1427;12,096
1428;12,096
1429;12,986453493
1430;12,096
1431;13,919619526
1432;12,701679086
1433;13,326348915
1434;16,66108022
1435;21,076297503
1436;21,983103278
1437;20,190176652
1438;14,310611463
1439;13,300247697
1440;12,096
1441;12,096
1442;12,096
1443;13,433469495
1444;12,096
1445;12,096
1446;12,096
1447;12,096
1448;12,111115512
1449;16,580036245
1450;14,111993912
1451;12,348003491
1452;12,096
1453;13,129563256
1454;14,902335774
1455;13,324656587
1456;13,996122151
1457;13,832260408
1458;16,175784834
1459;16,837843186
1460;17,349753164
1461;17,313351066
1462;13,941733613
1463;12,096
1464;12,096
1465;12,096
1466;12,096
1467;12,096
1468;12,096
1469;12,096
1470;12,096
1471;12,096
1472;12,096
1473;12,096
1474;12,096
1475;12,096
1476;12,096
1477;12,096
1478;14,645368074
1479;12,812960999
1480;12,096
1481;15,101457601
1482;16,825959381
1483;19,938078484
1484;24,964287118
1485;22,934830046
1486;24,46553207
1487;16,33877455
1488;18,351119676
1489;19,294793539
1490;15,794041776
1491;17,582770354
1492;14,594173833
1493;14,875784357
1494;15,832164433
1495;13,812897354
1496;12,709013032
1497;12,500993365
1498;12,096
1499;12,096
1500;12,096
1501;12,096
1502;12,096
1503;12,096
1504;12,875928965
1505;12,096
1506;12,096
1507;15,830258896
1508;19,063376268
1509;19,168042275
1510;17,2132158
1511;12,738533157
1512;15,775674908
1513;24,621840668
1514;20,637866326
1515;21,244963856
1516;19,19085336
1517;14,603386965
1518;18,854480717
1519;17,193167734
1520;12,096
1521;12,096
1522;12,096
1523;12,096
1524;12,096
1525;14,100120569
1526;14,520509352
1527;16,124905854
1528;15,915593213
1529;24,303648559
1530;27,274223637
1531;29,652041004
1532;30,09957033
1533;27,862598464
1534;26,443958745
1535;21,432816376
1536;23,425599734
1537;20,381155327
1538;19,637644367
1539;13,708145276
1540;16,109107997
1541;13,914283987
1542;13,741342237
1543;13,259357997
1544;12,096
1545;12,096
1546;12,096
1547;12,096
1548;12,096
1549;12,199744575
1550;12,096
1551;12,096
1552;12,885198351
1553;17,718645493
1554;23,774167774
1555;29,602937453
1556;32,765874247
1557;33,37650308
1558;34,27950918
1559;28,645395855
1560;26,618305341
1561;22,168392292
1562;21,608170211
1563;22,488789826
1564;22,787562516
1565;19,402041522
1566;19,696529315
1567;19,810340742
1568;20,680286121
1569;14,301147645
1570;12,096
1571;12,743930113
1572;17,802501893
1573;20,569350446
1574;20,150014091
1575;14,319598861
1576;15,354245996
1577;12,096
1578;15,098308016
1579;16,714078335
1580;16,211599821
1581;13,885204247
1582;12,146908951
1583;12,096
1584;12,096
1585;12,096
1586;12,096
1587;12,096
1588;12,096
1589;12,096
1590;12,096
1591;12,096
1592;12,096
1593;12,096
1594;12,096
1595;15,895534621
1596;13,377846489
1597;12,649151871
1598;12,096
1599;12,096
1600;12,096
1601;12,641629437
1602;14,729623733
1603;16,933310331
1604;19,419431109
1605;17,697201518
1606;12,096
1607;12,096
1608;12,096
1609;12,096
1610;12,096
1611;12,096
1612;12,096
1613;12,096
1614;12,096
1615;12,229477921
1616;14,730449426
1617;13,849475333
1618;13,911989395
1619;12,096
1620;12,096
1621;12,096
1622;12,096
1623;12,096
1624;12,096
1625;12,096
1626;12,096
1627;14,878142457
1628;15,990700462
1629;14,062440815
1630;12,096
1631;12,096
1632;12,096
1633;12,096
1634;12,096
1635;12,096
1636;12,096
1637;12,096
1638;12,096
1639;12,096
1640;12,096
1641;12,096
1642;12,096
1643;12,096
1644;12,096
1645;12,096
1646;12,096
1647;12,096
1648;12,096
1649;12,096
1650;12,096
1651;16,549880517
1652;20,041960841
1653;18,786327298
1654;14,659514866
1655;12,096
1656;13,14289867
1657;13,622218768
1658;12,096
1659;12,096
1660;12,096
1661;12,096
1662;12,936437699
1663;12,096
1664;12,096
1665;12,096
1666;12,096
1667;12,096
1668;12,096
1669;12,096
1670;12,096
1671;12,096
1672;12,096
