occ,naq,bre,hdf,pll,nor,pac,cor
0.749,0.583,0.731,0.63,0.175,0.301,0.181,0.191
0.768,0.567,0.746,0.629,0.18,0.318,0.167,0.198
0.746,0.544,0.758,0.643,0.175,0.354,0.149,0.182
0.713,0.497,0.76,0.64,0.165,0.407,0.127,0.175
0.697,0.441,0.76,0.636,0.146,0.443,0.102,0.188
0.675,0.411,0.729,0.659,0.122,0.444,0.089,0.203
0.647,0.414,0.707,0.668,0.111,0.433,0.078,0.21
0.619,0.429,0.68,0.694,0.116,0.422,0.068,0.204
0.541,0.442,0.638,0.732,0.128,0.412,0.05,0.177
0.499,0.392,0.607,0.759,0.121,0.392,0.038,0.166
0.463,0.313,0.564,0.771,0.115,0.368,0.032,0.175
0.439,0.263,0.542,0.774,0.144,0.392,0.027,0.18
0.466,0.248,0.536,0.773,0.153,0.429,0.022,0.176
0.529,0.268,0.551,0.767,0.168,0.455,0.016,0.157
0.619,0.318,0.583,0.76,0.181,0.502,0.014,0.13
0.687,0.414,0.591,0.755,0.213,0.54,0.018,0.114
0.777,0.556,0.607,0.746,0.268,0.568,0.017,0.109
0.84,0.683,0.618,0.733,0.3,0.607,0.012,0.111
0.862,0.766,0.645,0.716,0.322,0.63,0.007,0.128
0.874,0.807,0.654,0.697,0.33,0.658,0.004,0.15
0.885,0.827,0.683,0.667,0.322,0.671,0.004,0.166
0.906,0.827,0.71,0.683,0.322,0.665,0.004,0.171
0.924,0.82,0.707,0.691,0.324,0.663,0.004,0.157
0.935,0.797,0.671,0.721,0.306,0.658,0.005,0.136
0.942,0.762,0.66,0.739,0.268,0.653,0.009,0.117
0.947,0.71,0.654,0.736,0.22,0.668,0.016,0.113
0.946,0.632,0.704,0.75,0.187,0.695,0.023,0.123
0.954,0.554,0.723,0.746,0.175,0.679,0.027,0.144
0.959,0.546,0.685,0.806,0.23,0.639,0.027,0.175
0.957,0.556,0.672,0.859,0.364,0.604,0.027,0.208
0.951,0.548,0.659,0.868,0.503,0.58,0.021,0.243
0.948,0.568,0.666,0.84,0.636,0.559,0.012,0.268
0.945,0.578,0.689,0.868,0.694,0.524,0.008,0.296
0.943,0.585,0.745,0.902,0.641,0.45,0.012,0.328
0.938,0.579,0.808,0.908,0.615,0.378,0.018,0.345
0.939,0.606,0.856,0.893,0.603,0.36,0.022,0.36
0.941,0.684,0.877,0.87,0.554,0.358,0.029,0.353
0.94,0.7,0.904,0.857,0.522,0.364,0.04,0.328
0.933,0.714,0.914,0.873,0.516,0.365,0.05,0.289
0.93,0.754,0.909,0.906,0.539,0.4,0.075,0.244
0.938,0.754,0.912,0.921,0.588,0.431,0.129,0.203
0.934,0.76,0.899,0.922,0.607,0.422,0.184,0.185
0.918,0.714,0.86,0.92,0.607,0.389,0.188,0.184
0.892,0.701,0.82,0.936,0.61,0.347,0.209,0.192
0.883,0.705,0.749,0.956,0.61,0.307,0.233,0.206
0.857,0.689,0.684,0.963,0.607,0.281,0.298,0.243
0.815,0.685,0.7,0.943,0.608,0.268,0.33,0.285
0.775,0.685,0.709,0.922,0.604,0.263,0.377,0.325
0.751,0.691,0.729,0.916,0.599,0.265,0.411,0.37
0.739,0.707,0.751,0.913,0.595,0.266,0.432,0.432
0.725,0.702,0.793,0.908,0.559,0.26,0.471,0.486
0.719,0.655,0.801,0.891,0.529,0.252,0.441,0.527
0.7,0.6,0.711,0.874,0.543,0.246,0.482,0.567
0.695,0.552,0.605,0.875,0.536,0.241,0.493,0.554
0.684,0.516,0.575,0.877,0.543,0.232,0.488,0.519
