occ,naq,bre,hdf,pll,ara,est,nor,bfc,cvl,pac,cor,idf
0.445,0.109,0.06,0.212,0.076,0.193,0.02,0.152,0.086,0.065,0.514,0.089,0.076
0.478,0.125,0.057,0.222,0.075,0.191,0.025,0.161,0.075,0.059,0.489,0.153,0.07
0.465,0.132,0.053,0.243,0.071,0.195,0.034,0.181,0.06,0.048,0.454,0.197,0.074
0.425,0.137,0.049,0.247,0.064,0.206,0.048,0.207,0.05,0.04,0.439,0.231,0.082
0.4,0.129,0.048,0.247,0.052,0.19,0.064,0.224,0.045,0.041,0.42,0.262,0.088
0.379,0.118,0.054,0.231,0.04,0.181,0.076,0.225,0.039,0.046,0.392,0.269,0.101
0.343,0.103,0.065,0.213,0.034,0.181,0.093,0.22,0.037,0.051,0.363,0.255,0.114
0.323,0.099,0.076,0.201,0.035,0.174,0.114,0.213,0.038,0.055,0.322,0.235,0.128
0.274,0.078,0.08,0.205,0.033,0.163,0.134,0.205,0.032,0.051,0.281,0.194,0.134
0.25,0.088,0.066,0.207,0.025,0.157,0.13,0.19,0.025,0.044,0.24,0.141,0.114
0.24,0.072,0.062,0.241,0.032,0.166,0.134,0.179,0.027,0.057,0.225,0.063,0.117
0.234,0.062,0.077,0.281,0.039,0.179,0.153,0.195,0.05,0.067,0.213,0.021,0.138
0.237,0.061,0.087,0.309,0.047,0.19,0.158,0.22,0.075,0.076,0.234,0.006,0.137
0.25,0.061,0.102,0.326,0.056,0.193,0.161,0.236,0.098,0.09,0.264,0.004,0.127
0.266,0.06,0.111,0.323,0.069,0.204,0.189,0.27,0.094,0.099,0.274,0.008,0.112
0.272,0.054,0.121,0.321,0.086,0.236,0.224,0.3,0.105,0.111,0.336,0.017,0.128
0.322,0.068,0.153,0.334,0.118,0.286,0.245,0.313,0.125,0.123,0.428,0.049,0.161
0.398,0.104,0.167,0.367,0.13,0.315,0.252,0.337,0.131,0.108,0.468,0.121,0.186
0.455,0.135,0.163,0.382,0.132,0.315,0.254,0.355,0.13,0.091,0.533,0.234,0.199
0.507,0.144,0.144,0.397,0.126,0.341,0.254,0.364,0.125,0.087,0.606,0.317,0.212
0.553,0.138,0.118,0.397,0.117,0.351,0.271,0.369,0.127,0.106,0.648,0.35,0.227
0.597,0.126,0.098,0.41,0.111,0.328,0.262,0.363,0.134,0.138,0.675,0.328,0.26
0.642,0.127,0.086,0.399,0.102,0.331,0.275,0.36,0.147,0.182,0.685,0.281,0.287
0.666,0.136,0.081,0.401,0.098,0.307,0.274,0.355,0.166,0.224,0.7,0.252,0.265
0.689,0.152,0.088,0.4,0.106,0.292,0.251,0.349,0.195,0.25,0.721,0.224,0.245
0.712,0.162,0.109,0.405,0.132,0.31,0.241,0.364,0.212,0.295,0.75,0.184,0.234
0.719,0.167,0.14,0.399,0.171,0.317,0.212,0.391,0.236,0.277,0.758,0.166,0.245
0.759,0.156,0.18,0.368,0.209,0.347,0.182,0.377,0.262,0.287,0.77,0.17,0.243
0.786,0.142,0.225,0.358,0.264,0.409,0.174,0.344,0.267,0.294,0.774,0.189,0.22
0.785,0.147,0.287,0.355,0.32,0.482,0.17,0.318,0.249,0.269,0.791,0.219,0.222
0.777,0.174,0.314,0.35,0.332,0.522,0.166,0.303,0.197,0.252,0.821,0.262,0.222
0.781,0.188,0.306,0.348,0.323,0.555,0.163,0.291,0.187,0.244,0.865,0.413,0.222
0.816,0.182,0.277,0.326,0.288,0.585,0.175,0.267,0.182,0.198,0.847,0.666,0.201
0.807,0.155,0.163,0.262,0.242,0.626,0.176,0.212,0.182,0.14,0.841,0.76,0.133
0.792,0.22,0.168,0.22,0.259,0.693,0.199,0.17,0.198,0.132,0.87,0.753,0.119
0.788,0.3,0.225,0.243,0.27,0.734,0.276,0.177,0.26,0.184,0.889,0.722,0.164
0.792,0.318,0.195,0.264,0.264,0.754,0.319,0.185,0.296,0.195,0.899,0.723,0.181
0.787,0.332,0.176,0.254,0.263,0.758,0.301,0.187,0.317,0.197,0.9,0.747,0.176
0.765,0.337,0.171,0.231,0.256,0.745,0.267,0.181,0.295,0.187,0.892,0.788,0.15
0.747,0.295,0.176,0.268,0.243,0.716,0.289,0.206,0.274,0.193,0.887,0.852,0.158
0.758,0.311,0.21,0.297,0.281,0.675,0.291,0.235,0.292,0.236,0.884,0.901,0.207
0.757,0.352,0.219,0.28,0.29,0.599,0.264,0.231,0.292,0.269,0.874,0.917,0.231
0.736,0.337,0.22,0.254,0.287,0.553,0.241,0.212,0.301,0.282,0.858,0.899,0.233
0.716,0.327,0.218,0.231,0.272,0.508,0.211,0.189,0.287,0.285,0.845,0.87,0.231
0.707,0.31,0.21,0.214,0.254,0.499,0.176,0.169,0.235,0.283,0.838,0.852,0.224
0.674,0.289,0.2,0.209,0.24,0.477,0.143,0.156,0.187,0.27,0.816,0.855,0.206
0.623,0.274,0.192,0.208,0.229,0.442,0.116,0.149,0.137,0.225,0.782,0.864,0.174
0.58,0.27,0.182,0.203,0.216,0.385,0.093,0.145,0.105,0.154,0.749,0.85,0.129
0.545,0.273,0.177,0.194,0.193,0.341,0.067,0.143,0.093,0.111,0.706,0.807,0.1
0.515,0.269,0.175,0.185,0.147,0.32,0.045,0.138,0.08,0.09,0.668,0.739,0.078
0.491,0.251,0.16,0.176,0.109,0.307,0.033,0.131,0.074,0.075,0.624,0.656,0.06
0.464,0.24,0.14,0.17,0.091,0.317,0.026,0.124,0.076,0.069,0.601,0.561,0.053
0.439,0.267,0.117,0.167,0.085,0.32,0.023,0.12,0.078,0.069,0.604,0.482,0.051
0.437,0.274,0.101,0.161,0.09,0.337,0.022,0.118,0.079,0.068,0.612,0.425,0.05
0.426,0.251,0.099,0.155,0.099,0.355,0.022,0.114,0.076,0.071,0.626,0.366,0.051
0.417,0.22,0.093,0.148,0.107,0.364,0.023,0.111,0.074,0.072,0.637,0.307,0.056
0.362,0.201,0.093,0.131,0.115,0.4,0.023,0.106,0.073,0.071,0.626,0.247,0.064
0.332,0.177,0.09,0.1,0.117,0.452,0.025,0.084,0.078,0.064,0.658,0.189,0.054
0.366,0.223,0.089,0.077,0.103,0.497,0.036,0.068,0.105,0.054,0.663,0.13,0.061
0.354,0.253,0.108,0.09,0.105,0.521,0.055,0.074,0.148,0.06,0.629,0.058,0.08
0.35,0.271,0.141,0.093,0.16,0.553,0.073,0.086,0.195,0.116,0.61,0.024,0.098
0.352,0.278,0.147,0.094,0.223,0.572,0.085,0.093,0.206,0.157,0.607,0.01,0.105
0.339,0.282,0.159,0.104,0.269,0.527,0.088,0.101,0.18,0.143,0.587,0.012,0.1
0.325,0.274,0.197,0.143,0.238,0.493,0.118,0.133,0.185,0.137,0.588,0.025,0.12
0.379,0.374,0.257,0.167,0.243,0.478,0.149,0.161,0.257,0.169,0.608,0.031,0.149
0.435,0.413,0.281,0.172,0.272,0.459,0.165,0.175,0.282,0.187,0.64,0.05,0.171
0.433,0.373,0.289,0.157,0.289,0.444,0.165,0.173,0.269,0.196,0.651,0.077,0.186
0.399,0.361,0.289,0.137,0.289,0.437,0.161,0.162,0.264,0.195,0.637,0.1,0.189
0.379,0.339,0.281,0.114,0.279,0.428,0.138,0.145,0.245,0.194,0.633,0.128,0.19
0.377,0.305,0.267,0.077,0.271,0.425,0.109,0.121,0.218,0.197,0.618,0.156,0.182
0.382,0.283,0.258,0.039,0.257,0.413,0.096,0.065,0.168,0.169,0.606,0.187,0.134
0.387,0.233,0.252,0.041,0.207,0.394,0.104,0.029,0.128,0.102,0.578,0.224,0.074
0.403,0.207,0.224,0.069,0.135,0.386,0.106,0.034,0.12,0.064,0.539,0.253,0.061
0.417,0.166,0.172,0.076,0.089,0.379,0.08,0.057,0.138,0.069,0.523,0.267,0.075
0.421,0.155,0.145,0.059,0.09,0.408,0.064,0.05,0.127,0.076,0.542,0.261,0.06
0.419,0.168,0.187,0.044,0.107,0.402,0.055,0.03,0.093,0.065,0.558,0.234,0.042
0.417,0.212,0.222,0.057,0.104,0.377,0.055,0.017,0.077,0.056,0.538,0.192,0.035
0.415,0.217,0.178,0.088,0.091,0.37,0.059,0.024,0.077,0.06,0.524,0.157,0.041
0.392,0.207,0.119,0.118,0.088,0.364,0.058,0.033,0.082,0.076,0.517,0.133,0.047
0.364,0.184,0.082,0.147,0.11,0.375,0.057,0.041,0.087,0.085,0.497,0.121,0.042
0.277,0.147,0.079,0.158,0.122,0.433,0.048,0.045,0.082,0.081,0.459,0.117,0.034
0.229,0.143,0.074,0.13,0.127,0.473,0.038,0.046,0.096,0.081,0.453,0.085,0.029
0.245,0.171,0.074,0.102,0.121,0.485,0.031,0.046,0.142,0.064,0.467,0.054,0.023
0.239,0.18,0.068,0.1,0.118,0.482,0.032,0.046,0.128,0.052,0.45,0.027,0.027
0.229,0.203,0.084,0.114,0.15,0.457,0.043,0.048,0.1,0.065,0.427,0.017,0.031
0.222,0.223,0.093,0.149,0.178,0.404,0.06,0.063,0.091,0.067,0.394,0.017,0.035
0.206,0.216,0.089,0.179,0.153,0.34,0.077,0.093,0.096,0.065,0.37,0.021,0.048
0.205,0.165,0.087,0.209,0.139,0.323,0.111,0.134,0.13,0.083,0.401,0.026,0.069
0.255,0.225,0.095,0.23,0.173,0.352,0.148,0.171,0.157,0.104,0.45,0.007,0.089
0.307,0.309,0.109,0.23,0.197,0.307,0.166,0.191,0.171,0.105,0.44,0.003,0.109
0.321,0.289,0.117,0.227,0.195,0.273,0.178,0.197,0.176,0.104,0.417,0.002,0.125
0.331,0.266,0.112,0.223,0.177,0.279,0.171,0.189,0.165,0.107,0.417,0.01,0.129
0.337,0.235,0.095,0.219,0.164,0.275,0.163,0.175,0.151,0.109,0.442,0.03,0.124
0.341,0.223,0.077,0.225,0.15,0.257,0.146,0.173,0.134,0.113,0.453,0.057,0.126
0.372,0.201,0.065,0.237,0.127,0.229,0.116,0.181,0.128,0.119,0.478,0.078,0.133
0.4,0.164,0.051,0.251,0.1,0.206,0.089,0.19,0.117,0.123,0.508,0.095,0.134
0.443,0.114,0.037,0.257,0.08,0.201,0.079,0.197,0.098,0.112,0.542,0.12,0.139
