occ,naq,bre,hdf,pll,ara,est,nor,bfc,cvl,pac,cor,idf
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0.008,0,0,0.004,0,0.071,0.147,0
0.141,0.025,0.004,0.002,0.01,0.106,0.015,0.01,0.082,0.026,0.343,0.388,0.022
0.27,0.09,0.044,0.017,0.055,0.295,0.034,0.068,0.196,0.084,0.552,0.553,0.064
0.365,0.156,0.099,0.024,0.123,0.48,0.065,0.136,0.307,0.152,0.667,0.643,0.105
0.416,0.315,0.143,0.029,0.186,0.577,0.107,0.145,0.48,0.155,0.704,0.668,0.118
0.413,0.501,0.182,0.019,0.201,0.59,0.124,0.115,0.48,0.161,0.673,0.632,0.165
0.356,0.498,0.155,0.017,0.189,0.552,0.066,0.082,0.404,0.152,0.588,0.527,0.1
0.262,0.415,0.116,0.005,0.134,0.398,0.014,0.04,0.225,0.092,0.428,0.345,0.041
0.116,0.201,0.028,0,0.043,0.132,0,0.008,0.031,0.014,0.153,0.101,0.002
0,0.002,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0.019,0.003,0,0.013,0,0.118,0.168,0
0.187,0.037,0.015,0.066,0.123,0.187,0.115,0.052,0.206,0.076,0.436,0.414,0.13
0.358,0.161,0.122,0.202,0.377,0.486,0.403,0.231,0.452,0.414,0.646,0.582,0.391
0.48,0.384,0.274,0.283,0.539,0.655,0.522,0.356,0.619,0.575,0.747,0.671,0.528
0.559,0.585,0.362,0.362,0.614,0.712,0.528,0.487,0.654,0.624,0.78,0.695,0.557
0.642,0.627,0.404,0.317,0.615,0.691,0.401,0.492,0.606,0.6,0.749,0.656,0.534
0.62,0.574,0.371,0.272,0.552,0.601,0.278,0.412,0.466,0.497,0.653,0.554,0.45
0.472,0.446,0.235,0.103,0.414,0.43,0.131,0.273,0.234,0.316,0.478,0.378,0.276
0.228,0.22,0.079,0.013,0.188,0.156,0.007,0.083,0.049,0.069,0.188,0.127,0.063
0.003,0.004,0,0,0.001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,0,0,0,0,0.052,0.003,0,0.031,0,0.102,0.21,0
0.371,0.138,0.037,0.048,0.035,0.345,0.08,0.017,0.308,0.047,0.408,0.461,0.042
0.574,0.476,0.178,0.167,0.17,0.566,0.185,0.086,0.544,0.15,0.592,0.62,0.131
0.691,0.626,0.359,0.296,0.421,0.679,0.198,0.156,0.656,0.247,0.694,0.705,0.205
0.74,0.69,0.452,0.399,0.627,0.72,0.183,0.213,0.694,0.338,0.738,0.725,0.251
0.729,0.687,0.452,0.393,0.631,0.694,0.173,0.196,0.663,0.487,0.707,0.682,0.434
0.656,0.62,0.41,0.178,0.569,0.601,0.128,0.157,0.56,0.484,0.607,0.573,0.405
0.512,0.48,0.304,0.098,0.429,0.428,0.051,0.095,0.365,0.317,0.432,0.382,0.253
0.272,0.247,0.132,0.015,0.188,0.159,0.002,0.028,0.102,0.086,0.153,0.082,0.058
0.004,0.006,0,0,0.001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0.038,0.001,0,0,0,0.023,0.003,0,0.013,0,0.047,0.045,0
0.339,0.161,0.052,0.035,0.035,0.201,0.063,0.032,0.179,0.061,0.2,0.19,0.037
